block_id,display_name,category,material,variant,shape,render_bucket,alpha_mode,needs_sorting,occludes,occlusion_mode,mesh_profile,collision_kind,aabb_min,aabb_max,attach_faces,requires_support,double_sided,tex_layers,state_params,hardness_class,sound_class,flammable,requires_water,tint_mode,growth_rule_id,growth_params_json,mesh_notes,tags
basalt_raw_block,basalt raw block,geology:igneous_extrusive,basalt,raw,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;RAW;shape:block
basalt_raw_slab,basalt raw slab,geology:igneous_extrusive,basalt,raw,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;RAW;shape:slab
basalt_raw_stairs,basalt raw stairs,geology:igneous_extrusive,basalt,raw,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;RAW;shape:stairs
basalt_raw_wall,basalt raw wall,geology:igneous_extrusive,basalt,raw,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;RAW;shape:wall
basalt_raw_pillar,basalt raw pillar,geology:igneous_extrusive,basalt,raw,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;RAW;shape:pillar
basalt_raw_rubble,basalt raw rubble,geology:igneous_extrusive,basalt,raw,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;RAW;shape:rubble
basalt_fractured_block,basalt fractured block,geology:igneous_extrusive,basalt,fractured,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;FRACTURED;shape:block
basalt_fractured_slab,basalt fractured slab,geology:igneous_extrusive,basalt,fractured,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;FRACTURED;shape:slab
basalt_fractured_stairs,basalt fractured stairs,geology:igneous_extrusive,basalt,fractured,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;FRACTURED;shape:stairs
basalt_fractured_wall,basalt fractured wall,geology:igneous_extrusive,basalt,fractured,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;FRACTURED;shape:wall
basalt_fractured_pillar,basalt fractured pillar,geology:igneous_extrusive,basalt,fractured,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;FRACTURED;shape:pillar
basalt_fractured_rubble,basalt fractured rubble,geology:igneous_extrusive,basalt,fractured,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;FRACTURED;shape:rubble
basalt_weathered_block,basalt weathered block,geology:igneous_extrusive,basalt,weathered,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;WEATHERED;shape:block
basalt_weathered_slab,basalt weathered slab,geology:igneous_extrusive,basalt,weathered,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;WEATHERED;shape:slab
basalt_weathered_stairs,basalt weathered stairs,geology:igneous_extrusive,basalt,weathered,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;WEATHERED;shape:stairs
basalt_weathered_wall,basalt weathered wall,geology:igneous_extrusive,basalt,weathered,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;WEATHERED;shape:wall
basalt_weathered_pillar,basalt weathered pillar,geology:igneous_extrusive,basalt,weathered,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;WEATHERED;shape:pillar
basalt_weathered_rubble,basalt weathered rubble,geology:igneous_extrusive,basalt,weathered,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;WEATHERED;shape:rubble
basalt_cobbled_block,basalt cobbled block,geology:igneous_extrusive,basalt,cobbled,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;COBBLED;shape:block
basalt_cobbled_slab,basalt cobbled slab,geology:igneous_extrusive,basalt,cobbled,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;COBBLED;shape:slab
basalt_cobbled_stairs,basalt cobbled stairs,geology:igneous_extrusive,basalt,cobbled,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;COBBLED;shape:stairs
basalt_cobbled_wall,basalt cobbled wall,geology:igneous_extrusive,basalt,cobbled,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;COBBLED;shape:wall
basalt_cobbled_pillar,basalt cobbled pillar,geology:igneous_extrusive,basalt,cobbled,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;COBBLED;shape:pillar
basalt_cobbled_rubble,basalt cobbled rubble,geology:igneous_extrusive,basalt,cobbled,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;COBBLED;shape:rubble
basalt_polished_block,basalt polished block,geology:igneous_extrusive,basalt,polished,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;POLISHED;shape:block
basalt_polished_slab,basalt polished slab,geology:igneous_extrusive,basalt,polished,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;POLISHED;shape:slab
basalt_polished_stairs,basalt polished stairs,geology:igneous_extrusive,basalt,polished,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;POLISHED;shape:stairs
basalt_polished_wall,basalt polished wall,geology:igneous_extrusive,basalt,polished,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;POLISHED;shape:wall
basalt_polished_pillar,basalt polished pillar,geology:igneous_extrusive,basalt,polished,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;POLISHED;shape:pillar
basalt_polished_rubble,basalt polished rubble,geology:igneous_extrusive,basalt,polished,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;POLISHED;shape:rubble
basalt_bricks_block,basalt bricks block,geology:igneous_extrusive,basalt,bricks,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;BRICKS;shape:block
basalt_bricks_slab,basalt bricks slab,geology:igneous_extrusive,basalt,bricks,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;BRICKS;shape:slab
basalt_bricks_stairs,basalt bricks stairs,geology:igneous_extrusive,basalt,bricks,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;BRICKS;shape:stairs
basalt_bricks_wall,basalt bricks wall,geology:igneous_extrusive,basalt,bricks,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;BRICKS;shape:wall
basalt_bricks_pillar,basalt bricks pillar,geology:igneous_extrusive,basalt,bricks,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;BRICKS;shape:pillar
basalt_bricks_rubble,basalt bricks rubble,geology:igneous_extrusive,basalt,bricks,rubble,CUTOUT,CUTOUT,false,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,false,false,6 (one per face),,soft,stone,false,false,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;BRICKS;shape:rubble
basalt_tiles_block,basalt tiles block,geology:igneous_extrusive,basalt,tiles,block,OPAQUE,OPAQUE,false,True,full,CUBE,full,"0,0,0","1,1,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;TILES;shape:block
basalt_tiles_slab,basalt tiles slab,geology:igneous_extrusive,basalt,tiles,slab,OPAQUE,OPAQUE,false,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,false,false,6 (one per face),,hard,stone,false,false,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;TILES;shape:slab
basalt_tiles_stairs,basalt tiles stairs,geology:igneous_extrusive,basalt,tiles,stairs,OPAQUE,OPAQUE,false,True,partial,STAIRS,stairs,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;TILES;shape:stairs
basalt_tiles_wall,basalt tiles wall,geology:igneous_extrusive,basalt,tiles,wall,OPAQUE,OPAQUE,false,True,partial,WALL,wall,,,,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;TILES;shape:wall
basalt_tiles_pillar,basalt tiles pillar,geology:igneous_extrusive,basalt,tiles,pillar,OPAQUE,OPAQUE,false,True,partial,PILLAR,full,"0,0,0","1,1,1",,false,false,6 (one per face),orientation,hard,stone,false,false,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;TILES;shape:pillar
