block_id,display_name,category,material,variant,shape,render_bucket,alpha_mode,needs_sorting,occludes,occlusion_mode,mesh_profile,collision_kind,aabb_min,aabb_max,attach_faces,requires_support,double_sided,tex_layers,state_params,hardness_class,sound_class,flammable,requires_water,tint_mode,growth_rule_id,growth_params_json,mesh_notes,tags,display_name_zh,display_name_bi,category_zh,material_zh,variant_zh
basalt_raw_block,basalt raw block,geology:igneous_extrusive,basalt,raw,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;RAW;shape:block,玄武岩粗块,basalt raw block / 玄武岩粗块,地质/喷出火成岩,玄武岩,粗
basalt_raw_slab,basalt raw slab,geology:igneous_extrusive,basalt,raw,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;RAW;shape:slab,玄武岩粗半砖,basalt raw slab / 玄武岩粗半砖,地质/喷出火成岩,玄武岩,粗
basalt_raw_stairs,basalt raw stairs,geology:igneous_extrusive,basalt,raw,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;RAW;shape:stairs,玄武岩粗楼梯,basalt raw stairs / 玄武岩粗楼梯,地质/喷出火成岩,玄武岩,粗
basalt_raw_wall,basalt raw wall,geology:igneous_extrusive,basalt,raw,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;RAW;shape:wall,玄武岩粗墙,basalt raw wall / 玄武岩粗墙,地质/喷出火成岩,玄武岩,粗
basalt_raw_pillar,basalt raw pillar,geology:igneous_extrusive,basalt,raw,pillar,OPAQUE,OPAQUE,False,True,partial,PILLAR,full,"0,0,0","1,1,1",,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,CUBE with column texture mapping; optional axis rotation,geology:igneous_extrusive;RAW;shape:pillar,玄武岩粗柱,basalt raw pillar / 玄武岩粗柱,地质/喷出火成岩,玄武岩,粗
basalt_raw_rubble,basalt raw rubble,geology:igneous_extrusive,basalt,raw,rubble,CUTOUT,CUTOUT,False,False,none,RUBBLE,rubble,"0,0,0","1,0.35,1",,False,False,6 (one per face),,soft,stone,False,False,,NONE,,Low-profile irregular mesh; collision approx 0.25–0.5 height,geology:igneous_extrusive;RAW;shape:rubble,玄武岩粗碎石,basalt raw rubble / 玄武岩粗碎石,地质/喷出火成岩,玄武岩,粗
basalt_fractured_block,basalt fractured block,geology:igneous_extrusive,basalt,fractured,block,OPAQUE,OPAQUE,False,True,full,CUBE,full,"0,0,0","1,1,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Axis-aligned cube; face culling; collision = full cube,geology:igneous_extrusive;FRACTURED;shape:block,玄武岩破碎块,basalt fractured block / 玄武岩破碎块,地质/喷出火成岩,玄武岩,破碎
basalt_fractured_slab,basalt fractured slab,geology:igneous_extrusive,basalt,fractured,slab,OPAQUE,OPAQUE,False,True,partial,SLAB_HALF,slab,"0,0,0","1,0.5,1",,False,False,6 (one per face),,hard,stone,False,False,,NONE,,Procedural: cube with height=0.5; supports top/bottom placement,geology:igneous_extrusive;FRACTURED;shape:slab,玄武岩破碎半砖,basalt fractured slab / 玄武岩破碎半砖,地质/喷出火成岩,玄武岩,破碎
basalt_fractured_stairs,basalt fractured stairs,geology:igneous_extrusive,basalt,fractured,stairs,OPAQUE,OPAQUE,False,True,partial,STAIRS,stairs,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural stair mesh (8 subcubes) or block-model; needs orientation,geology:igneous_extrusive;FRACTURED;shape:stairs,玄武岩破碎楼梯,basalt fractured stairs / 玄武岩破碎楼梯,地质/喷出火成岩,玄武岩,破碎
basalt_fractured_wall,basalt fractured wall,geology:igneous_extrusive,basalt,fractured,wall,OPAQUE,OPAQUE,False,True,partial,WALL,wall,,,,False,False,6 (one per face),orientation,hard,stone,False,False,,NONE,,Procedural wall posts+connections; neighbor-aware,geology:igneous_extrusive;FRACTURED;shape:wall,玄武岩破碎墙,basalt fractured wall / 玄武岩破碎墙,地质/喷出火成岩,玄武岩,破碎
